First Name,Last Name,Part,Email,PIN
John,Ade,Soprano,john.ade@example.com,4821
Mary,James,Alto,mary.james@example.com,3157
Peter,Cole,Tenor,peter.cole@example.com,6248
Grace,David,Soprano,grace.david@example.com,7314
Daniel,Okoro,Tenor,daniel.okoro@example.com,9052
Esther,Michael,Alto,esther.michael@example.com,2468
Samuel,Joseph,Tenor,samuel.joseph@example.com,5173
Ruth,Emeka,Alto,ruth.emeka@example.com,8391
David,Paul,Soprano,david.paul@example.com,1542
Joy,Samuel,Alto,joy.samuel@example.com,6835
Michael,Peter,Tenor,michael.peter@example.com,4207
Deborah,John,Soprano,deborah.john@example.com,7964
